Name,City,State,PhoneNumber,Rating,Price
The Barber Shop,Forest Hills,NY,13479608534.0,5.0,$
Ace of Cuts Barber Shop,New York,NY,16467073507.0,4.5,$
Elegant Barber Shop,Brooklyn,NY,17187586000.0,4.5,$
Next Level Barber Shop,New York,NY,12129666069.0,5.0,$
Hell's Kitchen Barbers,New York,NY,12124705027.0,4.5,$
The Cut Barbershop,New York,NY,12125055556.0,4.5,$
Premium Barber Shop,New York,NY,12129353066.0,4.5,$
Premium Barber Shop,New York,NY,16466492235.0,4.5,$
Ray's Barber Shop,New York,NY,12125694090.0,5.0,$
Clinton Street Barber Shop,Brooklyn,NY,17187971247.0,4.0,$
Hills Barbershop,Forest Hills,NY,17186126332.0,5.0,$
Lorimer's Barber Shop,Brooklyn,NY,13477991978.0,4.5,$
Gotham City Barber Shop,New York,NY,16469985859.0,4.5,$
Ray's Barber Shop,New York,NY,12122339233.0,4.5,$
George's 2 Barber Shop,Brooklyn,NY,17186360512.0,4.0,$
Barber on Pearl,Brooklyn,NY,17188553090.0,4.5,$
Gabriel's Touch Barber Shop,New York,NY,12127571107.0,4.5,$
Xtreme Cuts Barber Shop,New York,NY,16466492568.0,4.5,$
Rafael's Barbershop,New York,NY,12122538856.0,4.5,$
3 Aces Barber Shop,New York,NY,12126649807.0,4.5,$
Miracles Barber Shop,Brooklyn,NY,13476944897.0,5.0,$$
12 Pell,New York,NY,12123658957.0,5.0,$$
Otis & Finn Barbershop,Long Island City,NY,17183922327.0,5.0,$$
Clever Barber,Brooklyn,NY,17186240100.0,5.0,$$
LEDO,Queens,NY,17184829888.0,4.5,$$
Grumd Barber Shop,New York,NY,16468816721.0,4.5,$$
The Land of Barbers,Williamsburg,NY,13473842153.0,4.5,$$
Barber Room 306,Brooklyn,NY,17185763978.0,4.5,$$
Olde Tyme Barbers,New York,NY,12126972696.0,4.5,$$
The Kinsman Barber Shop,New York,NY,12122422226.0,4.5,$$
Park Ave Barbershop,New York,NY,16465889983.0,5.0,$$
Manetamed,Brooklyn,NY,13477991849.0,4.5,$$
Barber Shop on 56th,New York,NY,12129742929.0,4.5,$$
3rd Avenue Barber Shop,Brooklyn,NY,13473940532.0,5.0,$$
Bonefade Barbers,New York,NY,12122560076.0,5.0,$$
Blue & Black,Brooklyn,NY,13479874426.0,4.5,$$
Geno's Barberia,New York,NY,12129299029.0,4.5,$$
Made Man Barbershop,New York,NY,19176393902.0,4.0,$$
The Flying Row,New York,NY,19172620537.0,5.0,$$
Cotter Barber,Greenpoint,NY,13479874562.0,4.5,$$
Barbering By Marcus,New York,NY,16463272929.0,4.5,$$$
Ludlow Blunt,Brooklyn,NY,17183888288.0,4.5,$$$
Blind Barber,New York,NY,16462646409.0,4.5,$$$
Barber Bart,New York,NY,12122542400.0,4.0,$$$
Paul Mole Barber Shop,New York,NY,12125358461.0,4.5,$$$
Straightrazor Barbershop,Staten Island,NY,17182854580.0,5.0,$$$
Truman's Gentlemen's Groomers,New York,NY,12127595015.0,4.0,$$$
Top Cutz II,Hasbrouck Heights,NJ,12014260280.0,4.5,$$$
A Cut Above the Barber Shop,Sparta,NJ,19737299272.0,4.0,$$$
The New York Shaving Company,New York,NY,12123349495.0,3.0,$$$
John Allan's,New York,NY,12123345358.0,4.0,$$$
Fleischman A Men's Salon,New York,NY,12127505666.0,3.5,$$$
Cutz and Stylez,Emerson,NJ,12014836436.0,5.0,$$$
Hairroin Salon,New York,NY,16467945951.0,4.5,$$$
Time Studio,Brooklyn,NY,17185229030.0,3.5,$$$
Modern Male,Staten Island,NY,17183175000.0,4.0,$$$
Men's Cuts NYC,New York,NY,13475154628.0,5.0,$$$
Brandy Barber Shop,New York,NY,13472727210.0,5.0,$$$
Domenico Vacca Barber Shop,New York,NY,16462907831.0,5.0,$$$
Exclusive Barber Shop,Flushing,NY,17183210242.0,4.0,$$$
De Pelos Barber Shop,Manhattan,NY,12122895484.0,5.0,$$$$
Martial Vivot,New York,NY,12129562990.0,4.5,$$$$
Audubon Barbershop,New York,NY,,5.0,$$$$
Alt & Co,Ho-Ho-Kus,NJ,12014447171.0,5.0,$$$$
Da Edge,New York,NY,12127958610.0,5.0,$$$$
Chapter 1 Barbershop,South Richmond Hill,NY,19179099126.0,4.5,$$$$
Taglio Barber Shop,New York,NY,17186631928.0,5.0,$$$$
Any Barbershop,Yonkers,NY,19148030210.0,4.5,$$$$
Sarah Mills Hair,New York,NY,12129418552.0,4.0,$$$$
Pluck's Fine Haircutting,Red Bank,NJ,17329335990.0,5.0,$$$$
Miguel Barber Shop,New York,NY,12122800797.0,4.0,$$$$
Pro Barber,Eatontown,NJ,17323897511.0,3.5,$$$$
Moon Barber Shop,Valley Stream,NY,16466438191.0,3.5,$$$$
Anthony Men's Hair Salon,New York,NY,12127592340.0,4.0,$$$$
Urban Style Barbershop,Warren,NJ,19082515155.0,3.0,$$$$
Vincents Barber Shop II,Northport,NY,16312613061.0,4.0,$$$$
Cristo Rey Barber Shop,New York,NY,12128604941.0,4.0,$$$$
Benny's Men's Salon,Parsippany,NJ,19732274133.0,3.5,$$$$
New Generation Barber Shop,Plainview,NY,15163429564.0,3.5,$$$$
Johnny's & Company,Darien,CT,12036551188.0,4.0,$$$$
